first_name,second_name,goals,assists,player_score,missed_passes,red_cards,yellow_cards,player_price,position,goals_conceded,saves,code,club_id
Shane,Long,5,2,66,24,0,3,50,4,0,0,20452,5
Matthew,Lowton,0,0,34,41,0,7,45,2,0,0,68983,5
Dwight,McNeil,3,4,75,25,0,2,60,3,0,0,433154,5
Ben,Mee,0,2,81,68,0,9,50,2,0,0,51927,5
Erik,Pieters,0,0,0,0,0,0,45,2,0,0,39487,5
Nick,Pope,0,0,0,0,0,0,45,1,7,12,98747,5
Jay,Rodriguez,0,0,0,0,0,0,60,4,0,0,44683,5
James,Tarkowski,3,2,97,63,0,8,50,2,0,0,17761,5
Neil,Taylor,0,0,0,0,0,0,45,2,0,0,47390,5
Matej,Vydra,1,1,21,7,0,1,55,4,0,0,81183,5
Ashley,Westwood,2,8,111,55,0,5,55,3,0,0,60551,5
Chris,Wood,10,3,131,49,0,2,65,4,0,0,60689,5
Marcos,Alonso,2,8,161,28,0,6,65,2,0,0,82263,6
Ethan,Ampadu,0,0,0,0,0,0,45,3,0,0,199598,6
Kepa,Arrizabalaga,0,0,142,39,0,2,55,1,15,28,109745,6
César,Azpilicueta,1,6,158,39,0,4,60,2,0,0,41328,6
Ross,Barkley,3,5,79,13,0,1,60,3,0,0,88894,6
Willian,Borges Da Silva,3,7,108,25,0,2,70,3,0,0,47431,6
Willy,Caballero,0,0,13,0,0,0,50,1,3,1,20310,6
Andreas,Christensen,0,0,22,7,0,1,50,2,0,0,135363,6
Daniel,Drinkwater,0,0,0,0,0,0,45,3,0,0,61603,6
Jorge Luiz,Frello Filho,2,0,96,37,0,8,50,3,0,0,85955,6
Olivier,Giroud,2,4,55,5,0,1,70,4,0,0,44346,6
Callum,Hudson-Odoi,0,1,18,5,0,0,60,3,0,0,209046,6
N'Golo,Kanté,4,4,116,38,0,3,50,3,0,0,116594,6
Mateo,Kovacic,0,2,64,19,0,3,55,3,0,0,91651,6
Ruben,Loftus-Cheek,6,2,79,9,0,0,65,3,0,0,126187,6
